no;urut;kode;pemda;pdrbb2013;pdrbb2014;pdrbb2015;pdrbb2016;pdrbb2017;pdrbb2018;pdrbb2019;pdrbb2020;pdrbb2021;pdrbb2022;pdrbb2023;gpdrbb2014;gpdrbb2015;gpdrbb2016;gpdrbb2017;gpdrbb2018;gpdrbb2019;gpdrbb2020;gpdrbb2021;gpdrbb2022;gpdrbb2023;bd2014;bd2015;bd2016;bd2017;bd2018;bd2019;bd2020;bd2021;bd2022;bd2023;prpad2014;prpad2015;prpad2016;prpad2017;prpad2018;prpad2019;prpad2020;prpad2021;prpad2022;prpad2023;prbm2014;prbm2015;prbm2016;prbm2017;prbm2018;prbm2019;prbm2020;prbm2021;prbm2022;prbm2023;eftpad2014;eftpad2015;eftpad2016;eftpad2017;eftpad2018;eftpad2019;eftpad2020;eftpad2021;eftpad2022;eftpad2023;ba2014;ba2015;ba2016;ba2017;ba2018;ba2019;ba2020;ba2021;ba2022;ba2023;psilpa2014;psilpa2015;psilpa2016;psilpa2017;psilpa2018;psilpa2019;psilpa2020;psilpa2021;psilpa2022;psilpa2023;size2014;size2015;size2016;size2017;size2018;size2019;size2020;size2021;size2022;size2023;opinib2014;opinib2015;opinib2016;opinib2017;opinib2018;opinib2019;opinib2020;opinib2021;opinib2022;opinib2023;area2014;area2015;area2016;area2017;area2018;area2019;area2020;area2021;area2022;area2023;adm2014;adm2015;adm2016;adm2017;adm2018;adm2019;adm2020;adm2021;adm2022;adm2023
1;1;1105;KABUPATEN ACEH BARAT;1105;5469;5828;6184;6947;7700;7998;8109;9983;12730;13572;;;;;;;;;;;0,155695211;0,063312246;0,001329345;0,010391302;0,000397033;0,016471188;0,07902283;0,011558065;0,069374598;0,056280649;0,115122317;0,118947257;0,108574477;0,118513088;0,120333615;0,109924225;0,112934286;0,100440431;0,099306209;0,113659535;0,252182068;0,241979854;0,224442312;0,231449452;0,158201223;0,192798131;0,204459297;0,215224651;0,189118246;0,156856414;2,071830806;1,078059152;1,226887985;1,083859645;0,916891431;0,911709569;1,035639121;1,033089257;1,015880893;1,142784492;0,062032554;0,052783107;0,009776688;0,039093701;0,048835267;0,056542765;0,09451878;0,033321208;0,027978721;0,015490983;0,133652876;0,093172399;0,033627959;0,039199092;0,069905471;0,08753785;0,085223664;0,081289706;0,081223587;0,077009924;3,87523E+12;2,2713E+12;2,74497E+12;2,88154E+12;2,90099E+12;3,26417E+12;3,39523E+12;3,52794E+12;3,67878E+12;3,82274E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;1106;KABUPATEN ACEH BESAR;1106;9650;10327;10969;11638;12498;13289;13329;14050;15457;17068;;;;;;;;;;;0,040312955;0,211933465;0,013258631;0,012490332;0,004107921;0,089609761;0,084331844;0,035404064;0,008672981;0,011184559;0,097881881;0,092464298;0,078251831;0,081252663;0,096303546;0,092663357;0,100417461;0,092387751;0,068455314;0,085949012;0,179305087;0,184108457;0,220031038;0,162660267;0,148745386;0,154851121;0,14512685;0,113759252;0,087921836;0,055719404;1,751601137;1,539069435;1,230306951;1,279364649;1,204565886;1,264171156;1,018345601;0,932019328;0,638060782;0,959935127;0,01203902;0,035243727;0,076908739;0,085295136;0,020266527;0,035945721;0,121586464;0,051151081;0,032343033;0,025726093;0,12180277;0,148915177;0,079862036;0,12067021;0,087449333;0,071832055;0,05330788;0,019757135;0,007440095;0,044369996;2,90587E+12;2,37203E+12;2,53676E+12;2,74153E+12;2,98368E+12;3,01068E+12;1,55983E+13;3,1305E+12;3,14238E+12;6,20325E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;4;1114;KABUPATEN ACEH JAYA;1114;1839;1981;2116;2275;2431;2576;2626;2859;3122;3374;;;;;;;;;;;0,012160179;0,210120566;0,039804918;0,041954762;0,000873501;0,004501234;0,097091192;0,010763918;0,016931741;0,03827402;0,05415342;0,044950201;0,046679144;0,052511179;0,07085906;0,077607392;0,089805723;0,081656559;0,075558891;0,083875533;0,302875878;0,298706163;0,333143102;0,275561603;0,160729597;0,172824069;0,160905688;0,186633267;0,181543674;0,115835795;1,647784173;1,096367004;0,937913305;0,897556632;1,048320736;1,010764834;0,955961681;1,009939761;0,797421887;1,084797411;0,063835066;0,113451868;0,038751499;0,002429988;0,064437606;0,042876433;0,094340632;0,052228558;0,018640407;0,002406958;0,113005632;0,099609063;0,041504301;0,029093162;0,07611154;0,080144068;0,06032379;0,060434581;0,031177103;0,046029549;1,57778E+12;1,64101E+12;1,95724E+12;2,18051E+12;2,27894E+12;2,34496E+12;2,38485E+12;2,55269E+12;2,68383E+12;2,75335E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;5;1101;KABUPATEN ACEH SELATAN;1101;3930;4227;4554;4855;5210;5491;5531;5970;6447;6963;;;;;;;;;;;0,039342776;0,201644155;0,000158639;0,060325106;0,024287409;0,032785825;0,078378531;0,016140399;0,022514014;0,022025715;0,078007798;0,071508152;0,08629118;0,091053389;0,111613073;0,096275005;0,098833316;0,097081408;0,118810972;0,119493995;0,232764886;0,269039634;0,244696771;0,251278702;0,169868133;0,179467583;0,126614756;0,151597227;0,077658235;0,186643631;1,560996555;1,17240105;1,338116502;1,190964001;0,916856657;0,941846799;1,058644559;0,991180372;1,153259124;1,107913331;0,010867135;0,13490221;0,006045202;0,054869292;0,040293124;0,033879192;0,091474758;0,03621152;0,00554697;0,010808276;0,049244518;0,065602482;0,030872083;0,026097355;0,036173744;0,015094544;0,004078172;0,024053376;0,026032529;0,001302602;1,80207E+12;1,75434E+12;2,26945E+12;2,55747E+12;2,62253E+12;2,6234E+12;2,67496E+12;3,07705E+12;3,2734E+12;3,40899E+12;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;7;1116;KABUPATEN ACEH TAMIANG;1116;5648;5763;6063;6518;7000;7419;7513;8873;10433;10729;;;;;;;;;;;0,096028158;0,105794604;0,006163623;0,023210723;0,010279839;0,027857313;0,113770478;0,01211012;0,03560065;0,055674351;0,105230862;0,09006546;0,085947312;0,091532597;0,119689479;0,100817127;0,104539455;0,111649953;0,085750172;0,10526978;0,254630462;0,316022944;0,269685661;0,227210181;0,157654412;0,184845381;0,156793552;0,124113713;0,147158944;0,112069015;1,974485205;0,927544111;0,886786106;0,904729325;0,981993971;0,959742229;0,899148682;1,040325795;0,851767048;1,292096802;0,056780928;0,122179246;0,063848374;0,007729126;0,062681142;0,050656173;0,12796696;0,05535549;0,047180649;0,001295561;0,107531011;0,045696146;0,025652137;0,014043107;0,047302635;0,01470745;0,02046281;0,074918601;0,052045975;0,071238074;1,11606E+12;1,43603E+12;1,88985E+12;2,3853E+12;2,54705E+12;2,64896E+12;2,58127E+12;2,70654E+12;2,77454E+12;5,68695E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;8;1104;KABUPATEN ACEH TENGAH;1104;5463;5875;6307;6722;7184;7473;7387;8032;8873;9843;;;;;;;;;;;0,108980936;0,134149053;0,237334743;0,005313322;0,019358195;0,287528015;0,035134509;0,077252461;0,016084474;0,020349624;0,126782371;0,115565129;0,101972284;0,108038424;0,11950661;0,123336287;0,138731933;0,12418539;0,130644823;0,123856785;0,234220597;0,291579995;0,318265658;0,273253684;0,146146932;0,201156079;0,179579902;0,151331212;0,130701465;0,088428618;1,620173788;1,067853322;1,090892103;1,039379838;0,823855835;1,052335536;1,163343493;1,098970663;0,949638334;1,066728327;0,065559334;0,048224786;0,262711614;0,005247311;0,038729496;0,277737095;0,024203437;0,079189257;0,051459138;0,000757274;0,056013191;0,07518842;0,013925515;0,015236882;0,040353237;0,03706661;0,041466054;0,025951677;0,019499181;0,045202517;2,50064E+12;1,84488E+12;2,16575E+12;2,46323E+12;2,36855E+12;2,48074E+12;2,64249E+12;2,72137E+12;2,53836E+12;4,95106E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;12;1306;KABUPATEN AGAM;1306;13918;15248;16693;17835;19151;20549;20377;21440;23924;26163;;;;;;;;;;;0,053332276;0,051123862;0,053096582;0,01021625;0,020481646;0,001531913;0,106914687;0,01732677;0,013028414;0,041605269;0,070162926;0,070731127;0,076012698;0,117271084;0,071703216;0,081800369;0,078456761;0,091501418;0,112686484;0,105435979;0,13974047;0,1291774;0,142342007;0,19329347;0,15301646;0,186260418;0,099760495;0,104051124;0,114504266;0,109272812;1,320193985;1,201851718;1,068326436;1,598854794;0,939697208;1,048375357;0,856897049;1,168539327;1,040394977;0,703339898;0,048623885;0,015238748;0,116840915;0,041829113;0,045843077;0,026520317;0,130288609;0,101361481;0,041247698;0,087369913;0,096402098;0,10079434;0,064986684;0,043040182;0,044568276;0,043629315;0,056907268;0,085432503;0,051019665;0,034487054;2,99371E+12;1,81046E+12;1,91464E+12;1,89524E+12;1,936E+12;2,04462E+12;2,02023E+12;2,0719E+12;2,08866E+12;4,41469E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;13;5305;KABUPATEN ALOR;5305;1989;2193;2410;2595;2832;3055;3053;3167;3364;3636;;;;;;;;;;;0,016563954;0,023545066;0,079193013;0,049017299;0,004399821;0,013073449;0,086139817;0,014538152;0,041872027;0,03337428;0,058034096;0,049765594;0,04798685;0,077189757;0,056396832;0,045202739;0,05687322;0,046604247;0,049007832;0,056842781;0,220244069;0,233126355;0,215042971;0,233364649;0,209123013;0,181874073;0,172007298;0,18045446;0,145795529;0,159639435;1,036627641;0,67410874;1,016881533;1,564787725;1,092971457;0,843112553;0,930567808;0,870520403;0,804728387;1,291340741;0,101697336;0,004871248;0,057525812;0,037251681;0,001383778;0,041436311;0,092288683;0,028071982;0,045312856;0,010956571;0,103913952;0,113569108;0,049483555;0,03901734;0,033727095;0,023012763;0,030515718;0,044046148;0,050138902;0,067993219;1,30873E+12;1,11999E+12;1,28105E+12;1,46605E+12;1,27525E+12;1,46548E+12;2,3561E+12;2,43264E+12;2,09143E+12;4,39156E+12;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
9;14;1209;KABUPATEN ASAHAN;1209;24329;26465;29207;32020;34665;37440;38692;41994;46575;51282;;;;;;;;;;;0,299360141;0,130754221;0,073654585;0,041918253;0,01171834;0,021613064;0,081293297;0,017488637;0,028213563;0,050685131;0,061512002;0,069848744;0,033714707;0,083132993;0,08847734;0,086788879;0,097883046;0,081998235;0,094012755;0,094709786;0,305581201;0,162953997;0,158245087;0,210590449;0,141814266;0,171514993;0,09168213;0,120721539;0,174533059;0,153201003;1,54690634;1,37924472;0,497729508;1,146418478;1,174717368;1,08084056;1,050717661;0,783561488;0,955942076;1,015066472;0,215628723;0,123923297;0,099516204;0,072410633;0,017903221;0,053369578;0,093763284;0,013125977;0,040437512;0,04090232;0,107612121;0,121777016;0,126245501;0,056797835;0,045889215;0,01159463;0,025760488;0,055565579;0,033360259;0,045416821;3,51907E+12;3,07009E+12;3,23074E+12;3,25723E+12;3,38237E+12;3,49742E+12;3,52429E+12;3,63623E+12;3,8695E+12;4,17596E+12;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;16;5103;KABUPATEN BADUNG;5103;37273;42429;47208;52344;57799;62795;49026;44882;55290;68400;;;;;;;;;;;0,233618822;0,148821484;0,129064206;0,059767283;0,174720544;0,25561777;0,380205668;0,28751682;0,542111522;0,190873716;0,786889181;0,803577014;0,823333459;0,844731973;0,840536641;0,834665201;0,541958886;0,646331147;0,803902159;0,874136721;0,289689193;0,299403856;0,287141198;0,229243857;0,156350162;0,143826173;0,116807417;0,047498129;0,129758011;0,143517058;1,238706136;1,16250269;1,212928019;1,091359142;0,799176877;0,711944887;0,399198887;0,621787624;1,780563728;1,216135559;0,001987046;0,126210761;0,02501012;0,00686196;0,199438301;0,277974673;0,384768937;0,260538644;0,128270948;0,202497659;0,266968129;0,342270168;0,24863024;0,121692429;0,040849803;0,048123039;0,078891031;0,075928834;0,237638647;0,137713006;8,67032E+12;2,6144E+13;1,17209E+13;1,29608E+13;1,35473E+13;1,34181E+13;1,75391E+13;1,70453E+13;1,77869E+13;1,57597E+13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
